result_id,field,extracted_value,source_locator,extractor,extraction_date,batch_id,verifier,verified_date,verified_value,agreement,adjudication,notes
evensen2017_cohort_t24m_paidcomp,n_employed,31,"evensen2017, Results / Employment outcome, p. 183 (count and percentage); Outcome measures, p. 183 (definition); Figure 1, p. 182 ('2 Year follow up: 78 employment status' CBT and '61 employment status' CR = 139)",claude-opus-5,2026-08-12,F02,,,,,,"Printed count, not back-calculated. Cross-checked: 24 with wages as primary income + 7 with a part-time wage = 31, and 16 (consent) + 15 (declined) = 31 from evensen2019 Table 1."
evensen2017_cohort_t24m_paidcomp,n_outcome_observed,139,"evensen2017, Results / Employment outcome, p. 183 (count and percentage); Outcome measures, p. 183 (definition); Figure 1, p. 182 ('2 Year follow up: 78 employment status' CBT and '61 employment status' CR = 139)",claude-opus-5,2026-08-12,F02,,,,,,"78 CBT + 61 CR employment status at 2-year follow-up, printed in Figure 1. Independently confirmed by evensen2019 Table 1's chi-square (3, n = 139). NOT the report's own base of 146, which includes 7 participants classified as unemployed without being reached."
evensen2017_cohort_t24m_paidshelt,outcome_construct,paid_sheltered_noncompetitive,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidshelt,ascertainment,point_prevalence,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidshelt,followup_months,24,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidshelt,followup_basis,since_baseline,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidshelt,n_employed,20,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_paidshelt,n_outcome_observed,139,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_vocact,outcome_construct,vocational_activity,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_vocact,ascertainment,point_prevalence,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_vocact,followup_months,24,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_vocact,followup_basis,since_baseline,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_vocact,n_employed,37,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
evensen2017_cohort_t24m_vocact,n_outcome_observed,139,"evensen2017, Results / Employment outcome, p. 183; definition lystad2017, 2.1 JUMP, p. 123",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidcomp,outcome_construct,paid_competitive,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 (count); Methods 2.4.3 Employment data, p. 25 (definition and register source); Figure 1, p. 26 (5-year column, 22.3%)",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidcomp,ascertainment,period_prevalence,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 (count); Methods 2.4.3 Employment data, p. 25 (definition and register source); Figure 1, p. 26 (5-year column, 22.3%)",claude-opus-5,2026-08-12,F02,,,,,,period_prevalence with a 12-month window: 'having worked at least one month during the last calendar year'. Reading this as point prevalence would inflate the estimate.
gjerdalen2023_cohort_t60m_paidcomp,followup_months,60,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 (count); Methods 2.4.3 Employment data, p. 25 (definition and register source); Figure 1, p. 26 (5-year column, 22.3%)",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidcomp,followup_basis,since_baseline,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 (count); Methods 2.4.3 Employment data, p. 25 (definition and register source); Figure 1, p. 26 (5-year column, 22.3%)",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidcomp,n_employed,33,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 (count); Methods 2.4.3 Employment data, p. 25 (definition and register source); Figure 1, p. 26 (5-year column, 22.3%)",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidcomp,n_outcome_observed,148,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 (count); Methods 2.4.3 Employment data, p. 25 (definition and register source); Figure 1, p. 26 (5-year column, 22.3%)",claude-opus-5,2026-08-12,F02,,,,,,"148 is the base the authors divided by (33/148 = 22.3 per cent), recovered from the printed percentage and confirmed by the arm reweighting; denominator_basis is therefore `entered`, not `outcome_observed`. It includes 2 participants known from evensen2017 to have died before the 2-year follow-up."
gjerdalen2023_cohort_t60m_vocact_any,outcome_construct,vocational_activity,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_any,ascertainment,period_prevalence,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_any,followup_months,60,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_any,followup_basis,since_baseline,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_any,n_employed,<blank>,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_any,n_outcome_observed,<blank>,"gjerdalen2023, Results 3.2 Occupational outcome, p. 25 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidshelt,outcome_construct,paid_sheltered_noncompetitive,"gjerdalen2023, Discussion, p. 28 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidshelt,ascertainment,period_prevalence,"gjerdalen2023, Discussion, p. 28 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidshelt,followup_months,60,"gjerdalen2023, Discussion, p. 28 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidshelt,followup_basis,since_baseline,"gjerdalen2023, Discussion, p. 28 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidshelt,n_employed,<blank>,"gjerdalen2023, Discussion, p. 28 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_paidshelt,n_outcome_observed,<blank>,"gjerdalen2023, Discussion, p. 28 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_placement,outcome_construct,vocational_activity,"gjerdalen2023, Abstract p. 23 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_placement,ascertainment,period_prevalence,"gjerdalen2023, Abstract p. 23 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_placement,followup_months,60,"gjerdalen2023, Abstract p. 23 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_placement,followup_basis,since_baseline,"gjerdalen2023, Abstract p. 23 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_placement,n_employed,<blank>,"gjerdalen2023, Abstract p. 23 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t60m_vocact_placement,n_outcome_observed,<blank>,"gjerdalen2023, Abstract p. 23 and Figure 1, p. 26",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t10m_paidcomp,outcome_construct,paid_competitive,"gjerdalen2023, Figure 1, p. 26 (Post-intervention column); evensen2017, Background, p. 181",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t10m_paidcomp,ascertainment,point_prevalence,"gjerdalen2023, Figure 1, p. 26 (Post-intervention column); evensen2017, Background, p. 181",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t10m_paidcomp,followup_months,10,"gjerdalen2023, Figure 1, p. 26 (Post-intervention column); evensen2017, Background, p. 181",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t10m_paidcomp,followup_basis,since_baseline,"gjerdalen2023, Figure 1, p. 26 (Post-intervention column); evensen2017, Background, p. 181",claude-opus-5,2026-08-12,F02,,,,,,
gjerdalen2023_cohort_t10m_paidcomp,n_employed,<blank>,"gjerdalen2023, Figure 1, p. 26 (Post-intervention column); evensen2017, Background, p. 181",claude-opus-5,2026-08-12,F02,,,,,,"LEFT BLANK. Only '8.1 %' is printed, in Figure 1. 8.1 per cent of 148 is 11.99, but back-calculating a count from a percentage is prohibited. This is the cohort's only datapoint in the 9-18 month primary band."
gjerdalen2023_cohort_t10m_paidcomp,n_outcome_observed,<blank>,"gjerdalen2023, Figure 1, p. 26 (Post-intervention column); evensen2017, Background, p. 181",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp,outcome_construct,paid_competitive,"evensen2019, Results / Quality adjusted life years, p. 4; Table 1, p. 4; Fig. 1, p. 3 (45 + 24 = 69)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp,ascertainment,point_prevalence,"evensen2019, Results / Quality adjusted life years, p. 4; Table 1, p. 4; Fig. 1, p. 3 (45 + 24 = 69)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp,followup_months,24,"evensen2019, Results / Quality adjusted life years, p. 4; Table 1, p. 4; Fig. 1, p. 3 (45 + 24 = 69)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp,followup_basis,since_baseline,"evensen2019, Results / Quality adjusted life years, p. 4; Table 1, p. 4; Fig. 1, p. 3 (45 + 24 = 69)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp,n_employed,16,"evensen2019, Results / Quality adjusted life years, p. 4; Table 1, p. 4; Fig. 1, p. 3 (45 + 24 = 69)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp,n_outcome_observed,69,"evensen2019, Results / Quality adjusted life years, p. 4; Table 1, p. 4; Fig. 1, p. 3 (45 + 24 = 69)",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp_ever,outcome_construct,paid_competitive,"evensen2019, Results / Quality adjusted life years, p. 4",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp_ever,ascertainment,any_time_during_followup,"evensen2019, Results / Quality adjusted life years, p. 4",claude-opus-5,2026-08-12,F02,,,,,,"any_time_during_followup: 'had paid employment DURING the two-year follow-up period', explicitly contrasted in the same sentence with the 16 'employed at the time of the two-year follow-up'."
evensen2019_consentreg_t24m_paidcomp_ever,followup_months,24,"evensen2019, Results / Quality adjusted life years, p. 4",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp_ever,followup_basis,since_baseline,"evensen2019, Results / Quality adjusted life years, p. 4",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp_ever,n_employed,21,"evensen2019, Results / Quality adjusted life years, p. 4",claude-opus-5,2026-08-12,F02,,,,,,
evensen2019_consentreg_t24m_paidcomp_ever,n_outcome_observed,69,"evensen2019, Results / Quality adjusted life years, p. 4",claude-opus-5,2026-08-12,F02,,,,,,
