rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
rodriguezpulido2021_crips_t12m_paidcomp__rob2_5_selective_reporting,rodriguezpulido2021_crips_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_5_selective_reporting,,some_concerns,"No trial registration, protocol or pre-specified analysis plan is cited anywhere in the report, and no primary outcome is nominated among the cognitive and vocational measures. The employment rate is defined in the methods but its numerators are never printed, only percentages in the text and a figure, while Table 4 gives the less policy-relevant jobs-per-individual, hours and wage measures with means and standard deviations. Selective reporting cannot be excluded and the missing counts are themselves a reporting failure.","Whole report; Methods p. 297; Results p. 307; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_crips_t12m_paidcomp__rob2_overall,rodriguezpulido2021_crips_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_overall,,high,"High overall, driven by the domain-2 judgement: a completers-only analysis of an open-label trial does not estimate the effect of assignment. Compounded by an unregistered protocol, 17.5% missing outcome data and n=47 analysed.",Overall judgement across domains,claude-opus-5,,
rodriguezpulido2021_ipsonly_t8m_paidcomp__rob2_1_randomisation,rodriguezpulido2021_ipsonly_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_1_randomisation,,some_concerns,"The allocation sequence was generated by computer ('carried out randomly using a computer program (Microsoft Excel 2010)', p. 296) but nothing is said about allocation concealment or who enrolled participants. Baseline balance is shown across demographics, diagnosis, education, hospitalisations, PANSS and every cognitive measure with no p below .08 (Table 1, p. 301; Table 2, pp. 302-303), which argues against a failure of randomisation, so concerns rather than high risk.","Methods, Study groups, p. 296; Table 1, p. 301",claude-opus-5,,
rodriguezpulido2021_ipsonly_t8m_paidcomp__rob2_2_deviations,rodriguezpulido2021_ipsonly_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_2_deviations,,high,"Open-label trial: participants, employment specialists and cognitive-remediation therapists all knew the assignment, and the IPS team also served other clients. More decisively, the employment results are analysed on completers only, 23 and 24 of the 28 and 29 randomised, so what is estimated is not the effect of ASSIGNMENT to CR+IPS. Two of the 23 CR+IPS completers did not reach the six-session threshold and were not classified as 'exposed to treatment', and no intention-to-treat analysis is reported anywhere.","Methods, Study groups, p. 296; Results, p. 300; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_ipsonly_t8m_paidcomp__rob2_3_missing_outcome_data,rodriguezpulido2021_ipsonly_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_3_missing_outcome_data,,some_concerns,"Ten of the 57 randomised participants (17.5%) have no employment outcome, balanced at five per arm. The stated reasons are 'loss of contact, illness, hospitalization, death, retirement and move to another city' (p. 296), several of which could plausibly depend on the employment outcome itself. Completers and non-completers were compared, but only on cognitive variables and symptomatology, not on employment, and no sensitivity analysis is reported.","Methods, Study groups, p. 296; Figure 1, p. 297",claude-opus-5,,
rodriguezpulido2021_ipsonly_t8m_paidcomp__rob2_4_outcome_measurement,rodriguezpulido2021_ipsonly_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_4_outcome_measurement,,low,"Obtaining a job is an objective event, collected prospectively and weekly by two research assistants who were explicitly blind to allocation: 'the employment results were collected weekly by research assistants (two psychologists) during the follow-up period. They were all unaware of which group the study participants belonged to' (p. 297). The measure is identical in both arms.","Methods, Study groups, p. 297",claude-opus-5,,
rodriguezpulido2021_ipsonly_t8m_paidcomp__rob2_5_selective_reporting,rodriguezpulido2021_ipsonly_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_5_selective_reporting,,some_concerns,"No trial registration, protocol or pre-specified analysis plan is cited anywhere in the report, and no primary outcome is nominated among the cognitive and vocational measures. The employment rate is defined in the methods but its numerators are never printed, only percentages in the text and a figure, while Table 4 gives the less policy-relevant jobs-per-individual, hours and wage measures with means and standard deviations. Selective reporting cannot be excluded and the missing counts are themselves a reporting failure.","Whole report; Methods p. 297; Results p. 307; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_ipsonly_t8m_paidcomp__rob2_overall,rodriguezpulido2021_ipsonly_t8m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_overall,,high,"High overall, driven by the domain-2 judgement: a completers-only analysis of an open-label trial does not estimate the effect of assignment. Compounded by an unregistered protocol, 17.5% missing outcome data and n=47 analysed.",Overall judgement across domains,claude-opus-5,,
rodriguezpulido2021_ipsonly_t12m_paidcomp__rob2_1_randomisation,rodriguezpulido2021_ipsonly_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_1_randomisation,,some_concerns,"The allocation sequence was generated by computer ('carried out randomly using a computer program (Microsoft Excel 2010)', p. 296) but nothing is said about allocation concealment or who enrolled participants. Baseline balance is shown across demographics, diagnosis, education, hospitalisations, PANSS and every cognitive measure with no p below .08 (Table 1, p. 301; Table 2, pp. 302-303), which argues against a failure of randomisation, so concerns rather than high risk.","Methods, Study groups, p. 296; Table 1, p. 301",claude-opus-5,,
rodriguezpulido2021_ipsonly_t12m_paidcomp__rob2_2_deviations,rodriguezpulido2021_ipsonly_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_2_deviations,,high,"Open-label trial: participants, employment specialists and cognitive-remediation therapists all knew the assignment, and the IPS team also served other clients. More decisively, the employment results are analysed on completers only, 23 and 24 of the 28 and 29 randomised, so what is estimated is not the effect of ASSIGNMENT to CR+IPS. Two of the 23 CR+IPS completers did not reach the six-session threshold and were not classified as 'exposed to treatment', and no intention-to-treat analysis is reported anywhere.","Methods, Study groups, p. 296; Results, p. 300; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_ipsonly_t12m_paidcomp__rob2_3_missing_outcome_data,rodriguezpulido2021_ipsonly_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_3_missing_outcome_data,,some_concerns,"Ten of the 57 randomised participants (17.5%) have no employment outcome, balanced at five per arm. The stated reasons are 'loss of contact, illness, hospitalization, death, retirement and move to another city' (p. 296), several of which could plausibly depend on the employment outcome itself. Completers and non-completers were compared, but only on cognitive variables and symptomatology, not on employment, and no sensitivity analysis is reported.","Methods, Study groups, p. 296; Figure 1, p. 297",claude-opus-5,,
rodriguezpulido2021_ipsonly_t12m_paidcomp__rob2_4_outcome_measurement,rodriguezpulido2021_ipsonly_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_4_outcome_measurement,,low,"Obtaining a job is an objective event, collected prospectively and weekly by two research assistants who were explicitly blind to allocation: 'the employment results were collected weekly by research assistants (two psychologists) during the follow-up period. They were all unaware of which group the study participants belonged to' (p. 297). The measure is identical in both arms.","Methods, Study groups, p. 297",claude-opus-5,,
rodriguezpulido2021_ipsonly_t12m_paidcomp__rob2_5_selective_reporting,rodriguezpulido2021_ipsonly_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_5_selective_reporting,,some_concerns,"No trial registration, protocol or pre-specified analysis plan is cited anywhere in the report, and no primary outcome is nominated among the cognitive and vocational measures. The employment rate is defined in the methods but its numerators are never printed, only percentages in the text and a figure, while Table 4 gives the less policy-relevant jobs-per-individual, hours and wage measures with means and standard deviations. Selective reporting cannot be excluded and the missing counts are themselves a reporting failure.","Whole report; Methods p. 297; Results p. 307; Table 4, p. 308",claude-opus-5,,
rodriguezpulido2021_ipsonly_t12m_paidcomp__rob2_overall,rodriguezpulido2021_ipsonly_t12m_paidcomp,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_overall,,high,"High overall, driven by the domain-2 judgement: a completers-only analysis of an open-label trial does not estimate the effect of assignment. Compounded by an unregistered protocol, 17.5% missing outcome data and n=47 analysed.",Overall judgement across domains,claude-opus-5,,
shimada2022_gotiot_t60m_vocact__rob2_1_randomisation,shimada2022_gotiot_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_1_randomisation,,some_concerns,"Participants 'were randomly assigned to the GOT + IOT or GOT alone groups' but 'the randomization procedure was described in our previous study' (Methods, 2.2, p. 478) and is not restated, so sequence generation and allocation concealment cannot be judged from this report. Baseline SFS scores did not differ between groups (Results, 3.2, p. 480), but the number of inpatient OT sessions did (t=-3.08, p=0.003, Table 1, pp. 479-480).","Methods, 2.2 Procedures, p. 478; Table 1, pp. 479-480; Results 3.2, p. 480",claude-opus-5,,
shimada2022_gotiot_t60m_vocact__rob2_2_deviations,shimada2022_gotiot_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_2_deviations,,some_concerns,"Patients and the occupational therapists delivering the intervention could not be blinded to a one-to-one occupational-therapy programme. The report states 'an intention-to-treat analysis of each outcome measure, using all available data' with a repeated-measures mixed model (Methods, 2.5, pp. 478-479), which is an appropriate estimator, but the analysed set is the 102 who reached the five-year assessment out of 136 randomised, so the ITT label does not cover the 34 who were removed.","Methods, 2.5 Statistical analyses, pp. 478-479; Results 3.1, p. 480",claude-opus-5,,
shimada2022_gotiot_t60m_vocact__rob2_3_missing_outcome_data,shimada2022_gotiot_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_3_missing_outcome_data,,high,"Thirty-four of the 136 randomised (25%) are absent from the five-year analysis, and the removal is imbalanced by arm: of the 18 excluded at index discharge for not meeting this study's criteria, 12 came from GOT+IOT and 6 from GOT alone, and a further 6 and 3 were excluded during follow-up. The report compares demographics and post-assessment scores of participants and non-participants and reports no significant differences, but a 2:1 differential exclusion on a criterion applied after randomisation is not addressed.","Results, 3.1 Patient disposition and characteristics, p. 480; Figure 1",claude-opus-5,,
shimada2022_gotiot_t60m_vocact__rob2_4_outcome_measurement,shimada2022_gotiot_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_4_outcome_measurement,,some_concerns,"'Assessments were administered by trained evaluators who were blind to the treatment assignment' (Methods, 2.4, p. 478), but the SFS is 'a self-reported questionnaire' (p. 478), so the respondent was necessarily unblinded and, in an intervention explicitly aimed at improving social functioning, the employment/occupation subscale is a self-rated engagement score rather than a verified employment status.","Methods, 2.4 Outcome measures, p. 478",claude-opus-5,,
shimada2022_gotiot_t60m_vocact__rob2_5_selective_reporting,shimada2022_gotiot_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_5_selective_reporting,,some_concerns,"The trial carries a registration number (UMIN000045509, Methods 2.2, p. 478) but the report does not give the registration date or cite a protocol or analysis plan for the five-year follow-up, so the outcome definition and timepoint cannot be checked against a pre-specification. All seven SFS subscales and the total are reported in Table 2, so within-instrument selection is not apparent.","Methods, 2.2 Procedures, p. 478; Table 2, p. 482",claude-opus-5,,
shimada2022_gotiot_t60m_vocact__rob2_overall,shimada2022_gotiot_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_overall,,high,"High overall, driven by domain 3: a quarter of randomised participants are missing from the five-year analysis with a 2:1 imbalance in post-randomisation exclusions, on a self-reported outcome in an unblinded psychosocial trial.",Overall judgement across domains,claude-opus-5,,
shimada2022_gotalone_t60m_vocact__rob2_1_randomisation,shimada2022_gotalone_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_1_randomisation,,some_concerns,"Participants 'were randomly assigned to the GOT + IOT or GOT alone groups' but 'the randomization procedure was described in our previous study' (Methods, 2.2, p. 478) and is not restated, so sequence generation and allocation concealment cannot be judged from this report. Baseline SFS scores did not differ between groups (Results, 3.2, p. 480), but the number of inpatient OT sessions did (t=-3.08, p=0.003, Table 1, pp. 479-480).","Methods, 2.2 Procedures, p. 478; Table 1, pp. 479-480; Results 3.2, p. 480",claude-opus-5,,
shimada2022_gotalone_t60m_vocact__rob2_2_deviations,shimada2022_gotalone_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_2_deviations,,some_concerns,"Patients and the occupational therapists delivering the intervention could not be blinded to a one-to-one occupational-therapy programme. The report states 'an intention-to-treat analysis of each outcome measure, using all available data' with a repeated-measures mixed model (Methods, 2.5, pp. 478-479), which is an appropriate estimator, but the analysed set is the 102 who reached the five-year assessment out of 136 randomised, so the ITT label does not cover the 34 who were removed.","Methods, 2.5 Statistical analyses, pp. 478-479; Results 3.1, p. 480",claude-opus-5,,
shimada2022_gotalone_t60m_vocact__rob2_3_missing_outcome_data,shimada2022_gotalone_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_3_missing_outcome_data,,high,"Thirty-four of the 136 randomised (25%) are absent from the five-year analysis, and the removal is imbalanced by arm: of the 18 excluded at index discharge for not meeting this study's criteria, 12 came from GOT+IOT and 6 from GOT alone, and a further 6 and 3 were excluded during follow-up. The report compares demographics and post-assessment scores of participants and non-participants and reports no significant differences, but a 2:1 differential exclusion on a criterion applied after randomisation is not addressed.","Results, 3.1 Patient disposition and characteristics, p. 480; Figure 1",claude-opus-5,,
shimada2022_gotalone_t60m_vocact__rob2_4_outcome_measurement,shimada2022_gotalone_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_4_outcome_measurement,,some_concerns,"'Assessments were administered by trained evaluators who were blind to the treatment assignment' (Methods, 2.4, p. 478), but the SFS is 'a self-reported questionnaire' (p. 478), so the respondent was necessarily unblinded and, in an intervention explicitly aimed at improving social functioning, the employment/occupation subscale is a self-rated engagement score rather than a verified employment status.","Methods, 2.4 Outcome measures, p. 478",claude-opus-5,,
shimada2022_gotalone_t60m_vocact__rob2_5_selective_reporting,shimada2022_gotalone_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_5_selective_reporting,,some_concerns,"The trial carries a registration number (UMIN000045509, Methods 2.2, p. 478) but the report does not give the registration date or cite a protocol or analysis plan for the five-year follow-up, so the outcome definition and timepoint cannot be checked against a pre-specification. All seven SFS subscales and the total are reported in Table 2, so within-instrument selection is not apparent.","Methods, 2.2 Procedures, p. 478; Table 2, p. 482",claude-opus-5,,
shimada2022_gotalone_t60m_vocact__rob2_overall,shimada2022_gotalone_t60m_vocact,rob2,"RoB 2 (2019, individually randomised parallel-group trials)",rob2_overall,,high,"High overall, driven by domain 3: a quarter of randomised participants are missing from the five-year analysis with a 2:1 imbalance in post-randomisation exclusions, on a self-reported outcome in an unblinded psychosocial trial.",Overall judgement across domains,claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi1_sample_frame,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi1_sample_frame,,yes,"A whole-country frame: every person in Sweden first diagnosed with nonaffective psychosis (ICD-10 F20-F29) aged 16-45 between 2006 and 2016, identified from the National Patient Register covering inpatient and specialized outpatient care. For a national first-episode psychosis population this is the strongest frame available.","Methods, p. 939",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi2_participant_sampling,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi2_participant_sampling,,yes,Total enumeration with no sampling step: all register-identified cases were included and linked by the personal identification number across four national registers.,"Methods, p. 939",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi3_sample_size,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi3_sample_size,,yes,"N = 21,551, far above any precision requirement for a prevalence.","Results, Sample Characteristics, p. 940; Table 1, p. 941",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi4_subjects_setting_described,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi4_subjects_setting_described,,yes,"Table 1 describes age and age band, sex, country of birth, specific first-diagnosis ICD-10 code, source of the first diagnosis, education level, prior antipsychotic use and baseline income from work; the Swedish sickness-absence and disability-pension systems are described in detail.","Table 1, p. 941; Methods, p. 939",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi5_coverage_of_sample,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi5_coverage_of_sample,,no,"Two coverage failures. First, 5,144 people already on disability pension at first diagnosis were excluded from the analysed cohort; disability pension is granted for permanently reduced work capacity, so the exclusion removes precisely those least likely to be employed and raises every employment percentage by an unknown amount. Second, the denominator behind the year-by-year percentages is never stated and cannot be the full 21,551 given accrual to 2016 against linkage ending 31 December 2016 and a median follow-up of 4.8 years.","Methods, Study Design and Statistical Analysis, p. 940; Figure 1 footnote, p. 942",claude-opus-5,,away_from_null_higher_employment
solmi2022_cohort_t12m_paidthresh__jbi6_condition_identification,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi6_condition_identification,,yes,"ICD-10 F20-F29 recorded in the National Patient Register by specialist inpatient or outpatient services, with the exact code distribution printed in Table 1. Diagnoses are clinical rather than research-interview based, and F29 (unspecified nonorganic psychosis) accounts for 43.0%, but the identification method is valid and uniform.","Methods, p. 939; Table 1, p. 941",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi7_condition_measurement,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi7_condition_measurement,,unclear,"The employment measure is applied uniformly from registers, which is reliable, but it is only partly specified: the paper states that the starting point was 'categorization by Statistics Sweden, where people were categorized as employed or not employed based on income' without giving that income rule, and then that 'people were assigned to the occupational activity generating income for more than 6 months yearly'. The classification therefore cannot be reproduced, and what it measures is a dominant main activity rather than any paid employment.","Methods, Other Measures, pp. 939-940",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi8_statistical_analysis,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi8_statistical_analysis,,no,"The occupational-activity series is presented as a stacked figure of percentages with no counts, no denominators, no confidence intervals and no account of how censoring was handled. The paper's considerable statistical apparatus (stratified within-subject Cox models, PRE2DUP exposure modelling, nine sensitivity analyses) is directed entirely at the work-disability hazard ratios, not at these prevalences, which are reported only as context.","Figure 1, p. 942; Methods, pp. 939-940",claude-opus-5,,
solmi2022_cohort_t12m_paidthresh__jbi9_response_rate,solmi2022_cohort_t12m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi9_response_rate,,unclear,"Register linkage removes non-response as such, and only education had missing data. But follow-up ends at 'death, emigration, DP, or the end of data linkage', and the number of people contributing to each yearly percentage is never reported, so the effective response rate at years 1 to 5 is unknown and the exclusion of prevalent disability pensioners is not managed or quantified anywhere.","Methods, Study Design and Statistical Analysis, p. 940; Table 1 footnote a, p. 941",claude-opus-5,,
solmi2022_cohort_t24m_paidthresh__jbi1_sample_frame,solmi2022_cohort_t24m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi1_sample_frame,,yes,"A whole-country frame: every person in Sweden first diagnosed with nonaffective psychosis (ICD-10 F20-F29) aged 16-45 between 2006 and 2016, identified from the National Patient Register covering inpatient and specialized outpatient care. For a national first-episode psychosis population this is the strongest frame available.","Methods, p. 939",claude-opus-5,,
solmi2022_cohort_t24m_paidthresh__jbi2_participant_sampling,solmi2022_cohort_t24m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi2_participant_sampling,,yes,Total enumeration with no sampling step: all register-identified cases were included and linked by the personal identification number across four national registers.,"Methods, p. 939",claude-opus-5,,
solmi2022_cohort_t24m_paidthresh__jbi3_sample_size,solmi2022_cohort_t24m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi3_sample_size,,yes,"N = 21,551, far above any precision requirement for a prevalence.","Results, Sample Characteristics, p. 940; Table 1, p. 941",claude-opus-5,,
solmi2022_cohort_t24m_paidthresh__jbi4_subjects_setting_described,solmi2022_cohort_t24m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi4_subjects_setting_described,,yes,"Table 1 describes age and age band, sex, country of birth, specific first-diagnosis ICD-10 code, source of the first diagnosis, education level, prior antipsychotic use and baseline income from work; the Swedish sickness-absence and disability-pension systems are described in detail.","Table 1, p. 941; Methods, p. 939",claude-opus-5,,
solmi2022_cohort_t24m_paidthresh__jbi5_coverage_of_sample,solmi2022_cohort_t24m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi5_coverage_of_sample,,no,"Two coverage failures. First, 5,144 people already on disability pension at first diagnosis were excluded from the analysed cohort; disability pension is granted for permanently reduced work capacity, so the exclusion removes precisely those least likely to be employed and raises every employment percentage by an unknown amount. Second, the denominator behind the year-by-year percentages is never stated and cannot be the full 21,551 given accrual to 2016 against linkage ending 31 December 2016 and a median follow-up of 4.8 years.","Methods, Study Design and Statistical Analysis, p. 940; Figure 1 footnote, p. 942",claude-opus-5,,away_from_null_higher_employment
solmi2022_cohort_t24m_paidthresh__jbi6_condition_identification,solmi2022_cohort_t24m_paidthresh,jbi_prevalence,JBI critical appraisal checklist for prevalence studies (9 items),jbi6_condition_identification,,yes,"ICD-10 F20-F29 recorded in the National Patient Register by specialist inpatient or outpatient services, with the exact code distribution printed in Table 1. Diagnoses are clinical rather than research-interview based, and F29 (unspecified nonorganic psychosis) accounts for 43.0%, but the identification method is valid and uniform.","Methods, p. 939; Table 1, p. 941",claude-opus-5,,
